Region,Area,Jan-Feb mean (%),Apr-May mean (%),Change (percentage points)
Andhra Pradesh,Rural,5.375,15.375,10.0
Andhra Pradesh,Urban,6.385,28.604999999999997,22.22
Assam,Urban,8.61,9.57,0.9600000000000009
Bihar,Rural,9.370000000000001,46.175,36.80499999999999
Bihar,Urban,17.9,48.32,30.42
Chhattisgarh,Rural,8.89,3.82,-5.07
Chhattisgarh,Urban,9.399999999999999,22.115000000000002,12.715000000000003
Delhi,Rural,13.645,21.725,8.080000000000002
Delhi,Urban,18.655,31.145000000000003,12.490000000000002
Goa,Rural,2.69,17.955,15.264999999999999
Gujarat,Rural,5.994999999999999,13.29,7.295
Gujarat,Urban,5.93,18.78,12.850000000000001
Haryana,Rural,21.700000000000003,37.915,16.214999999999996
Haryana,Urban,25.265,42.675,17.409999999999997
Himachal Pradesh,Rural,16.045,13.885,-2.160000000000002
Himachal Pradesh,Urban,22.729999999999997,26.35,3.6200000000000045
Jharkhand,Rural,7.61,48.41,40.8
Jharkhand,Urban,21.315,65.825,44.510000000000005
Karnataka,Rural,3.34,28.445,25.105
Karnataka,Urban,3.0949999999999998,20.5,17.405
Kerala,Rural,6.51,17.045,10.535000000000002
Kerala,Urban,6.365,25.855,19.490000000000002
Madhya Pradesh,Rural,4.04,17.48,13.440000000000001
Madhya Pradesh,Urban,5.0649999999999995,26.215,21.15
Maharashtra,Rural,4.02,21.085,17.065
Maharashtra,Urban,6.005,15.455,9.45
Meghalaya,Rural,1.8649999999999998,6.055000000000001,4.190000000000001
Meghalaya,Urban,6.0649999999999995,15.985,9.92
Odisha,Rural,2.56,16.965,14.405
Odisha,Urban,2.235,15.25,13.015
Puducherry,Urban,1.175,75.87,74.69500000000001
Punjab,Rural,10.05,22.14,12.09
Punjab,Urban,12.835,10.834999999999999,-2.0000000000000018
Rajasthan,Rural,11.24,11.35,0.10999999999999943
Rajasthan,Urban,17.92,30.44,12.52
Tamil Nadu,Rural,1.1749999999999998,45.959999999999994,44.785
Tamil Nadu,Urban,2.6799999999999997,35.75,33.07
Telangana,Rural,7.02,19.259999999999998,12.239999999999998
Telangana,Urban,6.615,23.535,16.92
Tripura,Rural,29.064999999999998,29.175,0.11000000000000298
Tripura,Urban,34.125,25.830000000000002,-8.294999999999998
Uttar Pradesh,Rural,7.09,18.405,11.315000000000001
Uttar Pradesh,Urban,11.995000000000001,29.5,17.505
Uttarakhand,Rural,4.51,3.615,-0.8949999999999996
Uttarakhand,Urban,7.1,15.27,8.17
West Bengal,Rural,5.285,18.375,13.09
West Bengal,Urban,7.41,15.425,8.015
